click_id,date,order,country,session ID,page 1 (main category),page 2 (clothing model),colour,location,model photography,page,price,Clicked
125,2024-04-01,5,29,19,4.0,P12,4,4,1,1,40.0,1
126,2024-04-01,1,29,20,1.0,A4,3,2,2,1,35.0,0
127,2024-04-01,2,29,20,1.0,A23,6,2,2,2,41.0,0
128,2024-04-01,3,29,20,4.0,P1,3,1,1,1,35.0,1
129,2024-04-01,1,29,21,4.0,P12,4,4,1,1,37.0,1
130,2024-04-01,2,29,21,2.0,B12,2,4,1,1,35.0,1
131,2024-04-01,3,29,21,2.0,B10,2,4,1,1,55.0,1
132,2024-04-01,4,29,21,2.0,,9,5,1,1,34.0,0
133,2024-04-01,5,29,21,3.0,,9,5,1,1,32.0,0
134,2024-04-01,6,29,21,3.0,C5,11,2,1,1,49.0,0
135,2024-04-01,7,29,21,4.0,P1,3,1,1,1,38.0,1
136,2024-04-01,1,9,22,1.0,A12,2,4,1,1,43.0,1
137,2024-04-01,2,9,22,1.0,A10,3,4,1,1,33.0,0
138,2024-04-01,3,9,22,1.0,A31,6,5,2,2,47.0,0
139,2024-04-01,4,9,22,1.0,A20,2,1,2,2,37.0,0
140,2024-04-01,1,29,23,1.0,A15,14,5,2,1,33.0,0
141,2024-04-01,2,29,23,2.0,B27,2,3,1,2,52.0,0
142,2024-04-01,3,29,23,4.0,P56,2,1,1,4,47.0,1
143,2024-04-01,1,29,24,2.0,B1,4,1,1,1,48.0,0
144,2024-04-01,2,29,24,2.0,B7,6,3,1,1,51.0,0
145,2024-04-01,3,29,24,2.0,B4,10,2,1,1,55.0,0
146,2024-04-01,4,29,24,2.0,B32,6,5,1,2,37.0,0
147,2024-04-01,5,29,24,3.0,C15,6,5,1,1,38.0,1
148,2024-04-01,6,29,24,4.0,P1,3,1,1,1,53.0,1
149,2024-04-01,1,9,25,2.0,B17,6,6,2,1,44.0,0
150,2024-04-01,2,9,25,3.0,C7,13,3,1,1,41.0,1
151,2024-04-01,1,29,26,1.0,A11,3,4,1,1,58.0,0
152,2024-04-01,2,29,26,1.0,A10,3,4,1,1,40.0,1
153,2024-04-01,1,9,27,2.0,B2,3,1,2,1,52.0,0
154,2024-04-01,2,9,27,1.0,A4,3,2,2,1,49.0,0
155,2024-04-01,3,9,27,3.0,C2,12,1,1,1,46.0,1
156,2024-04-01,4,9,27,3.0,C8,2,3,2,1,47.0,1
157,2024-04-01,5,9,27,3.0,C18,9,6,1,1,45.0,1
158,2024-04-01,1,29,28,1.0,A6,3,2,1,1,47.0,0
159,2024-04-01,2,29,28,1.0,A15,14,5,2,1,31.0,1
160,2024-04-01,3,29,28,1.0,A10,3,4,1,1,35.0,1
161,2024-04-01,4,29,28,3.0,C7,13,3,1,1,53.0,0
162,2024-04-01,5,29,28,4.0,P2,3,1,1,1,54.0,1
163,2024-04-01,6,29,28,4.0,P10,4,4,2,1,57.0,1
164,2024-04-01,1,29,29,1.0,A11,3,4,1,1,62.0,0
165,2024-04-01,2,29,29,1.0,A1,8,1,1,1,32.0,0
166,2024-04-01,3,29,29,1.0,A7,3,3,1,1,46.0,0
167,2024-04-01,1,29,30,2.0,B7,6,3,1,1,25.0,0
168,2024-04-01,2,29,30,2.0,B9,1,3,1,1,45.0,1
169,2024-04-01,3,29,30,3.0,C26,14,3,1,2,41.0,0
170,2024-04-01,4,29,30,3.0,C19,12,1,1,2,42.0,1
171,2024-04-01,5,29,30,3.0,C31,12,5,1,2,37.0,1
172,2024-04-01,6,29,30,3.0,C53,14,6,1,3,48.0,0
173,2024-04-01,7,29,30,1.0,A15,14,5,2,1,32.0,0
174,2024-04-01,8,29,30,1.0,A5,3,2,1,1,47.0,0
175,2024-04-01,9,29,30,1.0,A17,2,6,1,1,40.0,0
176,2024-04-01,10,29,30,1.0,A35,14,6,2,2,46.0,1
177,2024-04-01,11,29,30,1.0,A36,1,6,1,2,37.0,0
178,2024-04-01,1,29,31,1.0,A16,1,6,1,1,39.0,0
179,2024-04-01,2,29,31,2.0,B4,10,2,1,1,51.0,0
180,2024-04-01,3,29,31,2.0,,9,5,1,1,26.0,1
181,2024-04-01,4,29,31,3.0,C5,11,2,1,1,38.0,0
182,2024-04-01,5,29,31,3.0,C17,14,6,1,1,46.0,1
183,2024-04-01,6,29,31,3.0,C17,14,6,1,1,40.0,1
184,2024-04-01,7,29,31,1.0,A16,1,6,1,1,30.0,0
185,2024-04-01,8,29,31,2.0,B4,10,2,1,1,53.0,0
186,2024-04-01,9,29,31,2.0,B34,2,6,1,2,41.0,0
187,2024-04-01,10,29,31,3.0,C56,6,1,2,4,50.0,0
188,2024-04-01,11,29,31,3.0,C49,4,5,2,3,31.0,0
189,2024-04-01,12,29,31,3.0,C46,2,4,1,3,43.0,0
190,2024-04-01,1,29,32,1.0,A2,3,1,1,1,45.0,1
191,2024-04-01,2,29,32,1.0,A12,2,4,1,1,35.0,1
192,2024-04-01,3,29,32,4.0,P29,5,4,2,2,40.0,1
193,2024-04-01,1,29,33,1.0,A17,2,6,1,1,48.0,1
194,2024-04-01,2,29,33,1.0,A7,3,3,1,1,44.0,1
195,2024-04-01,3,29,33,1.0,A2,3,1,1,1,43.0,0
196,2024-04-01,4,29,33,1.0,A3,3,1,1,1,48.0,1
197,2024-04-01,5,29,33,4.0,P1,3,1,1,1,41.0,1
198,2024-04-01,6,29,33,4.0,P2,3,1,1,1,33.0,1
199,2024-04-01,7,29,33,1.0,A21,1,1,1,2,55.0,0
200,2024-04-01,8,29,33,1.0,A41,4,2,1,3,36.0,0
201,2024-04-01,9,29,33,4.0,P12,4,4,1,1,43.0,0
202,2024-04-01,10,29,33,4.0,P63,14,3,2,4,32.0,0
203,2024-04-01,11,29,33,4.0,,9,4,2,3,42.0,0
204,2024-04-01,12,29,33,4.0,P30,4,4,1,2,50.0,0
205,2024-04-01,13,29,33,4.0,P32,3,5,2,2,33.0,1
206,2024-04-01,14,29,33,4.0,,9,4,2,4,37.0,0
207,2024-04-01,15,29,33,4.0,P57,4,1,1,4,39.0,1
208,2024-04-01,16,29,33,4.0,P12,4,4,1,1,39.0,0
209,2024-04-01,17,29,33,2.0,B3,12,1,1,1,49.0,1
210,2024-04-01,18,29,33,4.0,P50,6,5,2,3,34.0,1
211,2024-04-01,19,29,33,4.0,P43,7,3,2,3,47.0,0
212,2024-04-01,20,29,33,4.0,P12,4,4,1,1,44.0,0
213,2024-04-01,21,29,33,4.0,P4,4,2,1,1,48.0,0
214,2024-04-01,1,24,34,3.0,C17,14,6,1,1,51.0,0
215,2024-04-01,2,24,34,2.0,B1,4,1,1,1,58.0,0
216,2024-04-01,1,24,35,2.0,B4,10,2,1,1,44.0,0
217,2024-04-01,2,24,35,1.0,A28,1,4,2,2,39.0,0
218,2024-04-01,3,24,35,1.0,A21,1,1,1,2,46.0,0
219,2024-04-01,4,24,35,1.0,A16,1,6,1,1,41.0,1
220,2024-04-01,5,24,35,1.0,A11,3,4,1,1,54.0,1
221,2024-04-01,1,29,36,4.0,P16,7,6,1,1,43.0,1
222,2024-04-01,2,29,36,4.0,P16,7,6,1,1,36.0,1
223,2024-04-01,1,29,37,2.0,,9,4,1,2,59.0,0
224,2024-04-01,2,29,37,2.0,,9,4,1,2,43.0,0
225,2024-04-01,3,29,37,2.0,,9,5,1,2,48.0,1
226,2024-04-01,4,29,37,1.0,A8,3,3,1,1,53.0,0
227,2024-04-01,5,29,37,1.0,A1,8,1,1,1,46.0,0
228,2024-04-01,6,29,37,1.0,A11,3,4,1,1,53.0,1
229,2024-04-01,7,29,37,4.0,P15,4,5,2,1,41.0,1
230,2024-04-01,1,29,38,4.0,P16,7,6,1,1,41.0,1
231,2024-04-01,2,29,38,4.0,P33,9,5,1,2,47.0,0
232,2024-04-01,3,29,38,1.0,A11,3,4,1,1,55.0,1
233,2024-04-01,4,29,38,1.0,A5,3,2,1,1,47.0,1
234,2024-04-01,1,41,39,3.0,C19,12,1,1,2,49.0,0
235,2024-04-01,2,41,39,1.0,A1,8,1,1,1,38.0,0
236,2024-04-01,1,9,40,1.0,A2,3,1,1,1,54.0,0
237,2024-04-01,2,9,40,1.0,A5,3,2,1,1,39.0,1
238,2024-04-01,3,9,40,1.0,A9,3,3,1,1,66.0,0
239,2024-04-01,4,9,40,1.0,A12,2,4,1,1,39.0,1
240,2024-04-01,5,9,40,1.0,A11,3,4,1,1,47.0,1
241,2024-04-01,6,9,40,2.0,B15,9,5,1,1,39.0,0
242,2024-04-01,7,9,40,2.0,B33,6,5,2,2,32.0,0
243,2024-04-01,1,9,41,1.0,A1,8,1,1,1,37.0,0
244,2024-04-01,2,9,41,1.0,A19,12,1,2,2,39.0,0
245,2024-04-01,1,29,42,1.0,A5,3,2,1,1,45.0,0
246,2024-04-01,1,9,43,2.0,B19,13,1,1,2,40.0,0
247,2024-04-01,2,9,43,2.0,B24,11,2,1,2,51.0,0
248,2024-04-01,3,9,43,2.0,B26,13,3,1,2,46.0,1
249,2024-04-01,4,9,43,2.0,B27,2,3,1,2,47.0,1
250,2024-04-01,5,9,43,2.0,B23,7,2,1,2,35.0,1
251,2024-04-01,6,9,43,2.0,B17,6,6,2,1,34.0,1
252,2024-04-01,7,9,43,2.0,B16,12,6,1,1,36.0,0
253,2024-04-01,8,9,43,2.0,B13,12,5,2,1,60.0,0
254,2024-04-01,9,9,43,2.0,B14,2,5,1,1,61.0,0
255,2024-04-01,10,9,43,2.0,B26,13,3,1,2,40.0,1
256,2024-04-01,11,9,43,2.0,B24,11,2,1,2,52.0,0
257,2024-04-01,12,9,43,2.0,B6,2,2,1,1,41.0,1
258,2024-04-01,13,9,43,2.0,B26,13,3,1,2,47.0,0
259,2024-04-01,14,9,43,2.0,B32,6,5,1,2,40.0,0
260,2024-04-01,15,9,43,2.0,B26,13,3,1,2,47.0,0
261,2024-04-01,16,9,43,2.0,B26,13,3,1,2,56.0,0
262,2024-04-01,17,9,43,2.0,B26,13,3,1,2,67.0,0
263,2024-04-01,18,9,43,2.0,B26,13,3,1,2,42.0,0
264,2024-04-01,19,9,43,2.0,B26,13,3,1,2,56.0,0
265,2024-04-01,20,9,43,2.0,B26,13,3,1,2,54.0,0
266,2024-04-01,21,9,43,2.0,B26,13,3,1,2,50.0,0
267,2024-04-01,22,9,43,2.0,B26,13,3,1,2,45.0,0
268,2024-04-01,23,9,43,2.0,B23,7,2,1,2,29.0,0
269,2024-04-01,1,9,44,1.0,A5,3,2,1,1,46.0,1
270,2024-04-01,2,9,44,1.0,A12,2,4,1,1,42.0,1
271,2024-04-01,3,9,44,2.0,B27,2,3,1,2,51.0,1
272,2024-04-01,4,9,44,2.0,B3,12,1,1,1,52.0,1
273,2024-04-01,5,9,44,2.0,B2,3,1,2,1,53.0,1
274,2024-04-01,6,9,44,2.0,B10,2,4,1,1,55.0,0
275,2024-04-01,7,9,44,2.0,B14,2,5,1,1,58.0,1
276,2024-04-01,8,9,44,2.0,B6,2,2,1,1,48.0,0
277,2024-04-01,9,9,44,3.0,C7,13,3,1,1,46.0,0
278,2024-04-01,10,9,44,3.0,C19,12,1,1,2,54.0,1
279,2024-04-01,11,9,44,3.0,C57,5,1,2,4,39.0,0
280,2024-04-01,1,12,45,,A4,3,2,2,1,31.0,0
281,2024-04-01,2,12,45,,A15,14,5,2,1,44.0,0
282,2024-04-01,3,12,45,,A29,2,4,1,2,57.0,0
283,2024-04-01,1,9,46,1.0,A11,3,4,1,1,52.0,0
284,2024-04-01,1,29,47,2.0,B1,4,1,1,1,58.0,0
285,2024-04-01,2,29,47,2.0,B10,2,4,1,1,52.0,0
286,2024-04-01,3,29,47,2.0,B17,6,6,2,1,41.0,0
287,2024-04-01,4,29,47,4.0,P1,3,1,1,1,49.0,1
288,2024-04-01,5,29,47,4.0,P49,14,5,1,3,36.0,1
289,2024-04-01,1,29,48,1.0,A4,3,2,2,1,38.0,0
290,2024-04-01,2,29,48,4.0,P4,4,2,1,1,42.0,0
291,2024-04-01,3,29,48,4.0,P15,4,5,2,1,46.0,1
292,2024-04-01,1,9,49,2.0,B4,10,2,1,1,40.0,0
293,2024-04-01,2,9,49,2.0,B16,12,6,1,1,55.0,0
294,2024-04-01,3,9,49,2.0,B2,3,1,2,1,57.0,1
295,2024-04-01,4,9,49,2.0,B1,4,1,1,1,59.0,0
296,2024-04-01,5,9,49,2.0,B9,1,3,1,1,35.0,0
297,2024-04-01,6,9,49,3.0,C5,11,2,1,1,53.0,0
298,2024-04-01,7,9,49,3.0,C7,13,3,1,1,47.0,1
299,2024-04-01,8,9,49,3.0,C3,6,1,2,1,32.0,0
300,2024-04-01,9,9,49,3.0,C9,6,3,1,1,44.0,1
301,2024-04-01,10,9,49,3.0,C17,14,6,1,1,44.0,0
302,2024-04-01,11,9,49,3.0,C18,9,6,1,1,49.0,0
303,2024-04-01,12,9,49,3.0,C11,7,4,1,1,39.0,0
304,2024-04-01,13,9,49,3.0,C14,9,5,1,1,34.0,0
305,2024-04-01,14,9,49,3.0,C34,7,6,1,2,31.0,0
306,2024-04-01,15,9,49,3.0,C36,14,6,1,2,40.0,0
307,2024-04-01,16,9,49,3.0,C37,2,1,1,3,45.0,0
308,2024-04-01,17,9,49,3.0,C39,6,1,1,3,46.0,0
309,2024-04-01,18,9,49,3.0,C49,4,5,2,3,40.0,0
310,2024-04-01,19,9,49,3.0,,9,5,2,3,30.0,0
311,2024-04-01,20,9,49,3.0,C51,6,5,1,3,29.0,0
312,2024-04-01,21,9,49,3.0,C52,2,6,1,3,41.0,0
313,2024-04-01,22,9,49,3.0,C57,5,1,2,4,31.0,0
314,2024-04-01,23,9,49,3.0,C18,9,6,1,1,38.0,1
315,2024-04-01,24,9,49,1.0,A1,8,1,1,1,40.0,1
316,2024-04-01,25,9,49,1.0,A2,3,1,1,1,48.0,0
317,2024-04-01,26,9,49,1.0,A3,3,1,1,1,54.0,0
318,2024-04-01,27,9,49,1.0,A5,3,2,1,1,49.0,0
319,2024-04-01,28,9,49,1.0,A6,3,2,1,1,50.0,1
320,2024-04-01,29,9,49,1.0,A7,3,3,1,1,31.0,0
321,2024-04-01,30,9,49,1.0,A8,3,3,1,1,58.0,1
322,2024-04-01,31,9,49,1.0,A9,3,3,1,1,63.0,1
323,2024-04-01,32,9,49,1.0,A10,3,4,1,1,47.0,0
324,2024-04-01,33,9,49,1.0,A12,2,4,1,1,47.0,1
325,2024-04-01,34,9,49,1.0,A13,1,5,1,1,36.0,0
326,2024-04-01,35,9,49,1.0,A15,14,5,2,1,41.0,0
327,2024-04-01,36,9,49,1.0,A16,1,6,1,1,42.0,1
328,2024-04-01,37,9,49,1.0,A17,2,6,1,1,61.0,0
329,2024-04-01,38,9,49,1.0,A31,6,5,2,2,55.0,0
330,2024-04-01,39,9,49,1.0,A19,12,1,2,2,36.0,0
331,2024-04-01,40,9,49,1.0,A36,1,6,1,2,36.0,0
332,2024-04-01,41,9,49,1.0,A42,6,2,1,3,33.0,0
333,2024-04-01,1,29,50,2.0,B19,13,1,1,2,41.0,0
334,2024-04-01,2,29,50,2.0,B24,11,2,1,2,68.0,0
335,2024-04-01,3,29,50,2.0,B29,2,4,1,2,56.0,0
336,2024-04-01,4,29,50,2.0,B23,7,2,1,2,55.0,0
337,2024-04-01,1,9,51,1.0,A11,3,4,1,1,60.0,0
338,2024-04-01,2,9,51,1.0,A1,8,1,1,1,33.0,0
339,2024-04-01,3,9,51,1.0,A3,3,1,1,1,60.0,1
340,2024-04-01,4,9,51,1.0,A3,3,1,1,1,58.0,1
341,2024-04-01,1,38,52,1.0,A13,1,5,1,1,36.0,0
342,2024-04-01,2,38,52,2.0,B9,1,3,1,1,48.0,0
343,2024-04-01,3,38,52,2.0,B13,12,5,2,1,76.0,0
344,2024-04-01,4,38,52,2.0,B12,2,4,1,1,46.0,0
345,2024-04-01,5,38,52,1.0,A13,1,5,1,1,34.0,0
346,2024-04-01,6,38,52,2.0,B10,2,4,1,1,54.0,0
347,2024-04-01,7,38,52,2.0,B11,2,4,1,1,43.0,0
348,2024-04-01,8,38,52,4.0,P16,7,6,1,1,6.0,1
349,2024-04-01,9,38,52,4.0,P1,3,1,1,1,38.0,1
350,2024-04-01,1,9,53,1.0,A13,1,5,1,1,43.0,0
351,2024-04-01,2,9,53,1.0,A2,3,1,1,1,41.0,0
352,2024-04-01,3,9,53,1.0,A5,3,2,1,1,32.0,1
353,2024-04-01,1,29,54,4.0,P4,4,2,1,1,37.0,1
354,2024-04-01,2,29,54,4.0,P6,2,2,1,1,49.0,0
355,2024-04-01,3,29,54,4.0,P17,2,6,2,1,39.0,1
356,2024-04-01,4,29,54,4.0,P10,4,4,2,1,58.0,0
357,2024-04-01,1,29,55,4.0,P11,4,4,2,1,32.0,1
358,2024-04-01,2,29,55,4.0,P16,7,6,1,1,28.0,1
359,2024-04-01,3,29,55,4.0,P15,4,5,2,1,36.0,0
360,2024-04-01,4,29,55,4.0,P15,4,5,2,1,43.0,1
361,2024-04-01,5,29,55,3.0,C1,4,1,2,1,32.0,1
362,2024-04-01,6,29,55,3.0,C13,9,5,1,1,44.0,0
363,2024-04-01,7,29,55,3.0,,9,5,1,1,45.0,0
364,2024-04-01,8,29,55,3.0,C17,14,6,1,1,39.0,1
365,2024-04-01,1,29,56,1.0,A14,3,5,1,1,61.0,0
366,2024-04-01,2,29,56,1.0,A15,14,5,2,1,49.0,0
367,2024-04-01,3,29,56,1.0,A24,2,2,1,2,51.0,1
368,2024-04-01,4,29,56,1.0,A35,14,6,2,2,46.0,0
369,2024-04-01,5,29,56,2.0,B4,10,2,1,1,49.0,0
370,2024-04-01,6,29,56,2.0,B1,4,1,1,1,51.0,1
371,2024-04-01,7,29,56,2.0,B32,6,5,1,2,44.0,0
372,2024-04-01,8,29,56,3.0,,9,5,1,1,34.0,0
373,2024-04-01,9,29,56,4.0,P20,7,1,1,2,39.0,1
374,2024-04-01,1,41,57,4.0,P40,4,2,1,3,38.0,0
375,2024-04-01,2,41,57,4.0,,9,5,1,3,41.0,1
376,2024-04-01,3,41,57,4.0,P61,1,3,2,4,46.0,1
377,2024-04-01,1,29,58,4.0,P4,4,2,1,1,39.0,0
378,2024-04-01,2,29,58,4.0,P25,2,3,2,2,38.0,0
379,2024-04-01,3,29,58,1.0,A7,3,3,1,1,51.0,0
380,2024-04-01,4,29,58,1.0,A11,3,4,1,1,56.0,0
381,2024-04-01,5,29,58,1.0,A9,3,3,1,1,65.0,0
382,2024-04-01,6,29,58,1.0,A23,6,2,2,2,36.0,0
383,2024-04-01,1,24,59,3.0,C44,14,3,1,3,52.0,0
384,2024-04-01,2,24,59,3.0,C45,11,3,1,3,50.0,0
385,2024-04-01,1,21,60,3.0,C17,14,6,1,1,47.0,0
386,2024-04-01,2,21,60,1.0,A15,14,5,2,1,41.0,0
387,2024-04-01,3,21,60,1.0,A4,3,2,2,1,38.0,0
